name,title,description,pubmed_id,platform,platform_technology_type,feature_count,channel_count,sample_count,value_type,reference_series,order,file_location,num_L1000_genes,target_column,num_classes,class_distribution,class_mapping
GDS3783,Jurkat T cell response to silver nanoparticles,Analysis of Jurkat T cells exposed to to 0.2 mg/L of silver nanoparticles (AgNPs) and Ag ions for 24 hours. Cell viability screening revealed that Jurkat T cells exhibit higher sensitivity to AgNPs than to Ag ions. Results provide insight into the molecular basis of this difference in sensitivity.,"['20932003', '24974767']",GPL6883,oligonucleotide beads,24526,1,9,transformed count,GSE20692,none,data/GEO_v2/datasets/GDS3783.csv,840,stress,3,"{'control': 3, 'Ag nanoparticles': 3, 'Ag ions': 3}","{'control': 0, 'Ag nanoparticles': 1, 'Ag ions': 0}"
GDS3783,Jurkat T cell response to silver nanoparticles,Analysis of Jurkat T cells exposed to to 0.2 mg/L of silver nanoparticles (AgNPs) and Ag ions for 24 hours. Cell viability screening revealed that Jurkat T cells exhibit higher sensitivity to AgNPs than to Ag ions. Results provide insight into the molecular basis of this difference in sensitivity.,"['20932003', '24974767']",GPL6883,oligonucleotide beads,24526,1,9,transformed count,GSE20692,none,data/GEO_v2/datasets/GDS3783.csv,840,stress,3,"{'control': 3, 'Ag nanoparticles': 3, 'Ag ions': 3}","{'control': 1, 'Ag nanoparticles': 0, 'Ag ions': 0}"
GDS4521,Ischemic stroke: peripheral blood mononuclear cells,Analysis of PBMCs collected from ischemic stroke (IS) patients at least 6 months after the first and only stroke event. Stroke is a complex disease resulting from the interplay of environmental and genetic factors. Results provide insight into the molecular mechanisms underlying IS etiology.,22453632,GPL570,in situ oligonucleotide,54675,1,40,transformed count,GSE22255,none,data/GEO_v2/datasets/GDS4521.csv,958,disease state,2,"{'ischemic stroke': 20, 'control': 20}","{'ischemic stroke': 0, 'control': 1}"
GDS4997,Lung epithelium cell line response to Influenza A virus (H3N2) non-structural 1 gene mutations,"Analysis of A549 cells infected with H3N2 influenza isolate A/Hong Kong/1/1968 (HK-wt) or recombinant HK NS1 mutants. NS1 is a multifunctional virulence factor. These results, together with those from GDS4998, provide insight into molecular effects of NS1 mutation on human versus mouse host cells.",23886034,GPL6244,in situ oligonucleotide,33297,1,18,transformed count,GSE48200,none,data/GEO_v2/datasets/GDS4997.csv,959,infection,6,"{'mock': 3, 'HK-wt': 3, 'F103L': 3, 'M106I': 3, 'M106V': 3, 'F103L+M106I': 3}","{'mock': 1, 'HK-wt': 0, 'F103L': 0, 'M106I': 0, 'M106V': 0, 'F103L+M106I': 0}"
GDS4997,Lung epithelium cell line response to Influenza A virus (H3N2) non-structural 1 gene mutations,"Analysis of A549 cells infected with H3N2 influenza isolate A/Hong Kong/1/1968 (HK-wt) or recombinant HK NS1 mutants. NS1 is a multifunctional virulence factor. These results, together with those from GDS4998, provide insight into molecular effects of NS1 mutation on human versus mouse host cells.",23886034,GPL6244,in situ oligonucleotide,33297,1,18,transformed count,GSE48200,none,data/GEO_v2/datasets/GDS4997.csv,959,infection,6,"{'mock': 3, 'HK-wt': 3, 'F103L': 3, 'M106I': 3, 'M106V': 3, 'F103L+M106I': 3}","{'mock': 0, 'HK-wt': 1, 'F103L': 1, 'M106I': 0, 'M106V': 0, 'F103L+M106I': 1}"
GDS4997,Lung epithelium cell line response to Influenza A virus (H3N2) non-structural 1 gene mutations,"Analysis of A549 cells infected with H3N2 influenza isolate A/Hong Kong/1/1968 (HK-wt) or recombinant HK NS1 mutants. NS1 is a multifunctional virulence factor. These results, together with those from GDS4998, provide insight into molecular effects of NS1 mutation on human versus mouse host cells.",23886034,GPL6244,in situ oligonucleotide,33297,1,18,transformed count,GSE48200,none,data/GEO_v2/datasets/GDS4997.csv,959,infection,6,"{'mock': 3, 'HK-wt': 3, 'F103L': 3, 'M106I': 3, 'M106V': 3, 'F103L+M106I': 3}","{'mock': 0, 'HK-wt': 1, 'F103L': 0, 'M106I': 1, 'M106V': 1, 'F103L+M106I': 1}"
GDS4519,Monozygotic twin pairs discordant for ulcerative colitis: intestinal biopsies,Analysis of colon mucosal tissue from 10 monozygotic (MZ) twins discordant for ulcerative colitis (UC). Twins (paired samples) were analyzed to obtain mucosal response data independent of genetic variation. Results provide insight into molecular mechanisms underlying UC.,"['21621540', '22826509']",GPL570,in situ oligonucleotide,54675,1,20,transformed count,GSE22619,none,data/GEO_v2/datasets/GDS4519.csv,958,disease state,2,"{'healthy': 10, 'ulcerative colitis': 10}","{'healthy': 0, 'ulcerative colitis': 1}"
GDS4180,"All-trans-retinoic acid effect on transglutaminase 2-silenced, NB4 model of acute promyelocytic leukemia: time course",Analysis of stable TG2-knockdown NB4 APL cells induced to differentiate in the presence of all-trans-retinoic acid (ATRA) for up to 72 hrs. Silencing of TG2 delays the differentiation process of NB4 cells. Results provide insight into the role of TG2 in the ATRA-induced differentiation of NB4 cells.,20739659,GPL6244,in situ oligonucleotide,33297,1,18,transformed count,GSE23702,none,data/GEO_v2/datasets/GDS4180.csv,959,genotype/variation,2,"{'transglutaminase 2 knockout': 9, 'wild type': 9}","{'transglutaminase 2 knockout': 0, 'wild type': 1}"
GDS4180,"All-trans-retinoic acid effect on transglutaminase 2-silenced, NB4 model of acute promyelocytic leukemia: time course",Analysis of stable TG2-knockdown NB4 APL cells induced to differentiate in the presence of all-trans-retinoic acid (ATRA) for up to 72 hrs. Silencing of TG2 delays the differentiation process of NB4 cells. Results provide insight into the role of TG2 in the ATRA-induced differentiation of NB4 cells.,20739659,GPL6244,in situ oligonucleotide,33297,1,18,transformed count,GSE23702,none,data/GEO_v2/datasets/GDS4180.csv,959,agent,2,"{'all-trans-retinoic acid': 12, 'untreated': 6}","{'all-trans-retinoic acid': 0, 'untreated': 1}"
GDS2628,Vitamin D effect on bronchial smooth muscle cells,"Analysis of bronchial muscle cells treated with 1alpha,25-dihydroxy-vitamin D3, the ligand for the vitamin D receptor (VDR). Genetic variants in VDR are associated with asthma. Results provide insight into the molecular basis of this association.",17213369,GPL570,in situ oligonucleotide,54675,1,6,transformed count,GSE5145,none,data/GEO_v2/datasets/GDS2628.csv,958,agent,2,"{'control': 3, 'vitamin D': 3}","{'control': 0, 'vitamin D': 1}"
GDS4397,5-aza-2’-deoxycytidine effect on colorectal cancer cell lines,"Analysis of colorectal cancer (CRC) cell lines treated with 5-aza-2’-deoxycytidine (5-aza-dC). 5-aza-dC, a DNA methylation inhibitor, was used to reactivate silenced genes in the CRC cell lines. Results provide insight into the molecular mechanisms underlying epigenetic alterations in CRC.",22399497,GPL570,in situ oligonucleotide,54675,1,10,transformed count,GSE32323,none,data/GEO_v2/datasets/GDS4397.csv,958,cell line,5,"{'COLO320': 2, 'HCT116': 2, 'HT29': 2, 'RKO': 2, 'SW480': 2}","{'COLO320': 0, 'HCT116': 0, 'HT29': 0, 'RKO': 0, 'SW480': 1}"
GDS4397,5-aza-2’-deoxycytidine effect on colorectal cancer cell lines,"Analysis of colorectal cancer (CRC) cell lines treated with 5-aza-2’-deoxycytidine (5-aza-dC). 5-aza-dC, a DNA methylation inhibitor, was used to reactivate silenced genes in the CRC cell lines. Results provide insight into the molecular mechanisms underlying epigenetic alterations in CRC.",22399497,GPL570,in situ oligonucleotide,54675,1,10,transformed count,GSE32323,none,data/GEO_v2/datasets/GDS4397.csv,958,cell line,5,"{'COLO320': 2, 'HCT116': 2, 'HT29': 2, 'RKO': 2, 'SW480': 2}","{'COLO320': 0, 'HCT116': 0, 'HT29': 0, 'RKO': 1, 'SW480': 0}"
GDS4397,5-aza-2’-deoxycytidine effect on colorectal cancer cell lines,"Analysis of colorectal cancer (CRC) cell lines treated with 5-aza-2’-deoxycytidine (5-aza-dC). 5-aza-dC, a DNA methylation inhibitor, was used to reactivate silenced genes in the CRC cell lines. Results provide insight into the molecular mechanisms underlying epigenetic alterations in CRC.",22399497,GPL570,in situ oligonucleotide,54675,1,10,transformed count,GSE32323,none,data/GEO_v2/datasets/GDS4397.csv,958,cell line,5,"{'COLO320': 2, 'HCT116': 2, 'HT29': 2, 'RKO': 2, 'SW480': 2}","{'COLO320': 0, 'HCT116': 0, 'HT29': 1, 'RKO': 0, 'SW480': 0}"
GDS4397,5-aza-2’-deoxycytidine effect on colorectal cancer cell lines,"Analysis of colorectal cancer (CRC) cell lines treated with 5-aza-2’-deoxycytidine (5-aza-dC). 5-aza-dC, a DNA methylation inhibitor, was used to reactivate silenced genes in the CRC cell lines. Results provide insight into the molecular mechanisms underlying epigenetic alterations in CRC.",22399497,GPL570,in situ oligonucleotide,54675,1,10,transformed count,GSE32323,none,data/GEO_v2/datasets/GDS4397.csv,958,cell line,5,"{'COLO320': 2, 'HCT116': 2, 'HT29': 2, 'RKO': 2, 'SW480': 2}","{'COLO320': 0, 'HCT116': 1, 'HT29': 0, 'RKO': 0, 'SW480': 0}"
GDS4397,5-aza-2’-deoxycytidine effect on colorectal cancer cell lines,"Analysis of colorectal cancer (CRC) cell lines treated with 5-aza-2’-deoxycytidine (5-aza-dC). 5-aza-dC, a DNA methylation inhibitor, was used to reactivate silenced genes in the CRC cell lines. Results provide insight into the molecular mechanisms underlying epigenetic alterations in CRC.",22399497,GPL570,in situ oligonucleotide,54675,1,10,transformed count,GSE32323,none,data/GEO_v2/datasets/GDS4397.csv,958,cell line,5,"{'COLO320': 2, 'HCT116': 2, 'HT29': 2, 'RKO': 2, 'SW480': 2}","{'COLO320': 1, 'HCT116': 0, 'HT29': 0, 'RKO': 0, 'SW480': 0}"
GDS4397,5-aza-2’-deoxycytidine effect on colorectal cancer cell lines,"Analysis of colorectal cancer (CRC) cell lines treated with 5-aza-2’-deoxycytidine (5-aza-dC). 5-aza-dC, a DNA methylation inhibitor, was used to reactivate silenced genes in the CRC cell lines. Results provide insight into the molecular mechanisms underlying epigenetic alterations in CRC.",22399497,GPL570,in situ oligonucleotide,54675,1,10,transformed count,GSE32323,none,data/GEO_v2/datasets/GDS4397.csv,958,agent,2,"{""5-aza-2'-deoxycytidine"": 5, 'control': 5}","{""5-aza-2'-deoxycytidine"": 0, 'control': 1}"
GDS3556,Torcetrapib effect on adrenal carcinoma cell line,"Analysis of H295 adrenal carcinoma cells treated with torcetrapib, an anti-cholesterol drug. Adverse side effects of torcetrapib treatment include changes in blood pressure, potassium, sodium, and aldosterone. Results provide insight into the molecular basis of the off-target side effects.",19164467,GPL570,in situ oligonucleotide,54675,1,9,transformed count,GSE15918,none,data/GEO_v2/datasets/GDS3556.csv,958,agent,3,"{'solvent control': 3, 'angiotensin II': 3, 'torcetrapib': 3}","{'solvent control': 0, 'angiotensin II': 1, 'torcetrapib': 1}"
GDS3864,In vivo glucocorticoid effect on non-leukemic peripheral blood lymphocytes,Analysis of mononuclear cells from non-leukemic individuals (1 healthy/3 epileptic) up to 24 hr after glucocorticoid (GC) injection. GCs induce apoptosis and are used to treat lymphoid malignancies. Results provide insight into molecular mechanisms responsible for the anti-leukemic GC effects.,21092265,GPL570,in situ oligonucleotide,54675,1,16,transformed count,GSE22779,none,data/GEO_v2/datasets/GDS3864.csv,958,disease state,2,"{'epilepsy (non-leukemic)': 12, 'healthy': 4}","{'epilepsy (non-leukemic)': 0, 'healthy': 1}"
GDS3864,In vivo glucocorticoid effect on non-leukemic peripheral blood lymphocytes,Analysis of mononuclear cells from non-leukemic individuals (1 healthy/3 epileptic) up to 24 hr after glucocorticoid (GC) injection. GCs induce apoptosis and are used to treat lymphoid malignancies. Results provide insight into molecular mechanisms responsible for the anti-leukemic GC effects.,21092265,GPL570,in situ oligonucleotide,54675,1,16,transformed count,GSE22779,none,data/GEO_v2/datasets/GDS3864.csv,958,agent,2,"{'glucocorticoid': 12, 'untreated': 4}","{'glucocorticoid': 0, 'untreated': 1}"
GDS5171,Supraclavicular and subcutaneous adipose tissue progenitor cells,Analysis of progenitor cells isolated from paired biopsies of deep neck and subcutaneous neck adipose tissue from patients undergoing neck surgery. Results provide insight into the molecular mechanisms underlying the differences between white and brown progenitor cells.,25102227,GPL6244,in situ oligonucleotide,33297,1,12,transformed count,GSE54280,none,data/GEO_v2/datasets/GDS5171.csv,959,cell type,2,"{'subcutaneous progenitor': 6, 'deep neck progenitor': 6}","{'subcutaneous progenitor': 0, 'deep neck progenitor': 1}"
GDS4803,Interleukin-17A effect on primary airway smooth muscle cells from asthmatics,Analysis of airway smooth muscle cells (ASM) from mild asthmatics after a 2hr interleukin-17A (IL-17A) treatment. IL-17A orchestrates airway inflammation by cooperating with and inducing proinflammatory cytokines. Results provide insight into immediate-early/primary response gene targets of IL-17A.,24393021,GPL6244,in situ oligonucleotide,33297,1,12,transformed count,GSE35643,none,data/GEO_v2/datasets/GDS4803.csv,959,disease state,2,"{'control': 6, 'mild asthma': 6}","{'control': 0, 'mild asthma': 1}"
GDS4803,Interleukin-17A effect on primary airway smooth muscle cells from asthmatics,Analysis of airway smooth muscle cells (ASM) from mild asthmatics after a 2hr interleukin-17A (IL-17A) treatment. IL-17A orchestrates airway inflammation by cooperating with and inducing proinflammatory cytokines. Results provide insight into immediate-early/primary response gene targets of IL-17A.,24393021,GPL6244,in situ oligonucleotide,33297,1,12,transformed count,GSE35643,none,data/GEO_v2/datasets/GDS4803.csv,959,agent,2,"{'untreated': 6, 'IL-17A': 6}","{'untreated': 0, 'IL-17A': 1}"
GDS5338,Helicobacter pylori infection: antrum stomach biopsies,Analysis of stomach biopsies of different stages of Helicobacter pylori (HB) infection. Many gastric cancers believed caused by chronic HB infection and atrophic corpus gastritis predisposes to gastric cancer development. Results provide insight into mechanisms underlying atrophic HB infection.,24119614,GPL6255,oligonucleotide beads,20589,1,9,transformed count,GSE27411,none,data/GEO_v2/datasets/GDS5338.csv,949,disease state,3,"{'non-infected': 3, 'Helicobacter pylori infected without atrophy': 3, 'Helicobacter pylori infected with atrophy': 3}","{'non-infected': 0, 'Helicobacter pylori infected without atrophy': 0, 'Helicobacter pylori infected with atrophy': 1}"
GDS5338,Helicobacter pylori infection: antrum stomach biopsies,Analysis of stomach biopsies of different stages of Helicobacter pylori (HB) infection. Many gastric cancers believed caused by chronic HB infection and atrophic corpus gastritis predisposes to gastric cancer development. Results provide insight into mechanisms underlying atrophic HB infection.,24119614,GPL6255,oligonucleotide beads,20589,1,9,transformed count,GSE27411,none,data/GEO_v2/datasets/GDS5338.csv,949,disease state,3,"{'non-infected': 3, 'Helicobacter pylori infected without atrophy': 3, 'Helicobacter pylori infected with atrophy': 3}","{'non-infected': 0, 'Helicobacter pylori infected without atrophy': 1, 'Helicobacter pylori infected with atrophy': 0}"
GDS5338,Helicobacter pylori infection: antrum stomach biopsies,Analysis of stomach biopsies of different stages of Helicobacter pylori (HB) infection. Many gastric cancers believed caused by chronic HB infection and atrophic corpus gastritis predisposes to gastric cancer development. Results provide insight into mechanisms underlying atrophic HB infection.,24119614,GPL6255,oligonucleotide beads,20589,1,9,transformed count,GSE27411,none,data/GEO_v2/datasets/GDS5338.csv,949,disease state,3,"{'non-infected': 3, 'Helicobacter pylori infected without atrophy': 3, 'Helicobacter pylori infected with atrophy': 3}","{'non-infected': 1, 'Helicobacter pylori infected without atrophy': 0, 'Helicobacter pylori infected with atrophy': 0}"
GDS4858,Skeletal muscles from men and women of various ages,Analysis of biceps brachii muscles from men and women 19 to 28 or 65 to 76 years of age. Results provide insight into the influence of gender on age-related changes in the molecular properties of the skeletal muscle.,23418191,GPL570,in situ oligonucleotide,54675,1,22,transformed count,GSE38718,none,data/GEO_v2/datasets/GDS4858.csv,958,gender,2,"{'women': 11, 'men': 11}","{'women': 0, 'men': 1}"
GDS4858,Skeletal muscles from men and women of various ages,Analysis of biceps brachii muscles from men and women 19 to 28 or 65 to 76 years of age. Results provide insight into the influence of gender on age-related changes in the molecular properties of the skeletal muscle.,23418191,GPL570,in situ oligonucleotide,54675,1,22,transformed count,GSE38718,none,data/GEO_v2/datasets/GDS4858.csv,958,age,2,"{'19 to 28 years': 14, '65 to 76 years': 8}","{'19 to 28 years': 0, '65 to 76 years': 1}"
GDS1733,Heat shock transcription factor HSF1 depleted cells response to heat shock: time course,"Analysis of HSF1-depleted HeLa cells at various time points up to 24 hours following heat shock treatment at 43 degrees C. Heat shock transcription factor HSF1 silenced using RNA interference (siHSF1_1, siHSF1_2). Results provide insight into the structure and function of the HSF1 signaling network.",17216044,GPL571,in situ oligonucleotide,22277,1,42,transformed count,GSE3697,none,data/GEO_v2/datasets/GDS1733.csv,958,protocol,2,"{'HSF1 knockdown': 24, 'control': 18}","{'HSF1 knockdown': 0, 'control': 1}"
GDS5027,"NeOAdjuvant Herceptin (NOAH) trial: formalin-fixed, paraffin-embedded breast cancer biopsies",Analysis of FFPE core biopsies from pre-treated patients with HER2+ breast cancer (BC) randomized to receive neoadjuvant chemotherapy only or chemotherapy+trastuzumab (herceptin). Results provide insight into the molecular basis of survival outcomes following trastuzumab-based chemotherapy.,24443618,GPL570,in situ oligonucleotide,54675,1,156,transformed count,GSE50948,none,data/GEO_v2/datasets/GDS5027.csv,958,genotype/variation,2,"{'HER2+': 114, 'HER2-': 42}","{'HER2+': 0, 'HER2-': 1}"
GDS5027,"NeOAdjuvant Herceptin (NOAH) trial: formalin-fixed, paraffin-embedded breast cancer biopsies",Analysis of FFPE core biopsies from pre-treated patients with HER2+ breast cancer (BC) randomized to receive neoadjuvant chemotherapy only or chemotherapy+trastuzumab (herceptin). Results provide insight into the molecular basis of survival outcomes following trastuzumab-based chemotherapy.,24443618,GPL570,in situ oligonucleotide,54675,1,156,transformed count,GSE50948,none,data/GEO_v2/datasets/GDS5027.csv,958,protocol,2,"{'doxorubicin/paclitaxel + cyclophosphamide/methotrexate/fluorouracil': 93, 'doxorubicin/paclitaxel + cyclophosphamide/methotrexate/fluorouracil + trastuzumab': 63}","{'doxorubicin/paclitaxel + cyclophosphamide/methotrexate/fluorouracil': 0, 'doxorubicin/paclitaxel + cyclophosphamide/methotrexate/fluorouracil + trastuzumab': 1}"
GDS5027,"NeOAdjuvant Herceptin (NOAH) trial: formalin-fixed, paraffin-embedded breast cancer biopsies",Analysis of FFPE core biopsies from pre-treated patients with HER2+ breast cancer (BC) randomized to receive neoadjuvant chemotherapy only or chemotherapy+trastuzumab (herceptin). Results provide insight into the molecular basis of survival outcomes following trastuzumab-based chemotherapy.,24443618,GPL570,in situ oligonucleotide,54675,1,156,transformed count,GSE50948,none,data/GEO_v2/datasets/GDS5027.csv,958,other,2,"{'response group: residual disease (RD)': 103, 'response group: pathohistologic complete remission (pCR)': 53}","{'response group: residual disease (RD)': 0, 'response group: pathohistologic complete remission (pCR)': 1}"
GDS2767,Blood response to various beverages: time course,"Analysis of blood samples from 6 individuals at various time points up to 12 hours following the intake of water, ethanol, grape juice, or red wine. Results may contribute to elucidating the mechanisms underlying the cardioprotective effects of red wine.",17010189,GPL96,in situ oligonucleotide,22283,1,108,transformed count,GSE3846,none,data/GEO_v2/datasets/GDS2767.csv,958,agent,4,"{'water': 29, 'red wine': 28, 'grape juice': 26, 'alcohol': 25}","{'water': 0, 'red wine': 0, 'grape juice': 0, 'alcohol': 1}"
GDS2767,Blood response to various beverages: time course,"Analysis of blood samples from 6 individuals at various time points up to 12 hours following the intake of water, ethanol, grape juice, or red wine. Results may contribute to elucidating the mechanisms underlying the cardioprotective effects of red wine.",17010189,GPL96,in situ oligonucleotide,22283,1,108,transformed count,GSE3846,none,data/GEO_v2/datasets/GDS2767.csv,958,agent,4,"{'water': 29, 'red wine': 28, 'grape juice': 26, 'alcohol': 25}","{'water': 0, 'red wine': 0, 'grape juice': 1, 'alcohol': 0}"
GDS2767,Blood response to various beverages: time course,"Analysis of blood samples from 6 individuals at various time points up to 12 hours following the intake of water, ethanol, grape juice, or red wine. Results may contribute to elucidating the mechanisms underlying the cardioprotective effects of red wine.",17010189,GPL96,in situ oligonucleotide,22283,1,108,transformed count,GSE3846,none,data/GEO_v2/datasets/GDS2767.csv,958,agent,4,"{'water': 29, 'red wine': 28, 'grape juice': 26, 'alcohol': 25}","{'water': 0, 'red wine': 1, 'grape juice': 0, 'alcohol': 0}"
GDS2767,Blood response to various beverages: time course,"Analysis of blood samples from 6 individuals at various time points up to 12 hours following the intake of water, ethanol, grape juice, or red wine. Results may contribute to elucidating the mechanisms underlying the cardioprotective effects of red wine.",17010189,GPL96,in situ oligonucleotide,22283,1,108,transformed count,GSE3846,none,data/GEO_v2/datasets/GDS2767.csv,958,agent,4,"{'water': 29, 'red wine': 28, 'grape juice': 26, 'alcohol': 25}","{'water': 1, 'red wine': 0, 'grape juice': 0, 'alcohol': 0}"
