name,title,description,pubmed_id,platform,platform_technology_type,feature_count,channel_count,sample_count,value_type,reference_series,order,file_location,num_L1000_genes,target_column,num_classes,class_distribution,class_mapping,is_train
GDS4318,Single nucleotide polymorphism rs1333049 from the 9p21.3 coronary artery disease risk locus: normal heart,Analysis of left ventricular heart from donors with no previous history of heart disease. Results provide insight into associations between 9p21.3 (rs1333049) genotype and transcripts in cardiovascular tissue.,22768093,GPL6244,in situ oligonucleotide,33297,1,108,transformed count,GSE22253,none,data/GEO_v2/datasets/GDS4318.csv,959,genotype/variation,3,"{'rs1333049 genotype: GC': 55, 'rs1333049 genotype: GG': 32, 'rs1333049 genotype: CC': 21}","{'rs1333049 genotype: GC': 0, 'rs1333049 genotype: GG': 1, 'rs1333049 genotype: CC': 0}",False
GDS4318,Single nucleotide polymorphism rs1333049 from the 9p21.3 coronary artery disease risk locus: normal heart,Analysis of left ventricular heart from donors with no previous history of heart disease. Results provide insight into associations between 9p21.3 (rs1333049) genotype and transcripts in cardiovascular tissue.,22768093,GPL6244,in situ oligonucleotide,33297,1,108,transformed count,GSE22253,none,data/GEO_v2/datasets/GDS4318.csv,959,genotype/variation,3,"{'rs1333049 genotype: GC': 55, 'rs1333049 genotype: GG': 32, 'rs1333049 genotype: CC': 21}","{'rs1333049 genotype: GC': 0, 'rs1333049 genotype: GG': 1, 'rs1333049 genotype: CC': 1}",False
GDS4267,Systemic juvenile idiopathic arthritis and non-systemic JIA subtypes: peripheral blood mononuclear cells,"Analysis of PBMCs from patients with systemic juvenile idiopathic arthritis (sJIA) or non-sJIA. sJIA patients have significantly increased expansion of  immature PBMC subpopulations,  including CD34+ cells. Results provide insight into molecular mechanisms underlying sJIA pathogenesis.",20576155,GPL570,in situ oligonucleotide,54675,1,154,transformed count,GSE21521,none,data/GEO_v2/datasets/GDS4267.csv,958,disease state,3,"{'non-systemic JIA': 107, 'healthy': 29, 'systemic JIA': 18}","{'non-systemic JIA': 0, 'healthy': 0, 'systemic JIA': 1}",False
GDS4267,Systemic juvenile idiopathic arthritis and non-systemic JIA subtypes: peripheral blood mononuclear cells,"Analysis of PBMCs from patients with systemic juvenile idiopathic arthritis (sJIA) or non-sJIA. sJIA patients have significantly increased expansion of  immature PBMC subpopulations,  including CD34+ cells. Results provide insight into molecular mechanisms underlying sJIA pathogenesis.",20576155,GPL570,in situ oligonucleotide,54675,1,154,transformed count,GSE21521,none,data/GEO_v2/datasets/GDS4267.csv,958,disease state,3,"{'non-systemic JIA': 107, 'healthy': 29, 'systemic JIA': 18}","{'non-systemic JIA': 0, 'healthy': 1, 'systemic JIA': 0}",False
GDS4267,Systemic juvenile idiopathic arthritis and non-systemic JIA subtypes: peripheral blood mononuclear cells,"Analysis of PBMCs from patients with systemic juvenile idiopathic arthritis (sJIA) or non-sJIA. sJIA patients have significantly increased expansion of  immature PBMC subpopulations,  including CD34+ cells. Results provide insight into molecular mechanisms underlying sJIA pathogenesis.",20576155,GPL570,in situ oligonucleotide,54675,1,154,transformed count,GSE21521,none,data/GEO_v2/datasets/GDS4267.csv,958,disease state,3,"{'non-systemic JIA': 107, 'healthy': 29, 'systemic JIA': 18}","{'non-systemic JIA': 0, 'healthy': 1, 'systemic JIA': 1}",False
GDS5363,Osteoarthritis: peripheral blood mononuclear cells,Analysis of peripheral blood mononuclear cells (PBMCs) from osteoarthritis (OA) patients. Patients participated in the Genetics osteoARthritis and Progression (GARP) study. Results provide insight into the feasibility of using gene expression profiling of PBMCs to detect the onset of OA.,23864235,GPL6947,oligonucleotide beads,49576,1,139,transformed count,GSE48556,none,data/GEO_v2/datasets/GDS5363.csv,965,disease state,2,"{'osteoarthritis': 106, 'control': 33}","{'osteoarthritis': 0, 'control': 1}",True
GDS5363,Osteoarthritis: peripheral blood mononuclear cells,Analysis of peripheral blood mononuclear cells (PBMCs) from osteoarthritis (OA) patients. Patients participated in the Genetics osteoARthritis and Progression (GARP) study. Results provide insight into the feasibility of using gene expression profiling of PBMCs to detect the onset of OA.,23864235,GPL6947,oligonucleotide beads,49576,1,139,transformed count,GSE48556,none,data/GEO_v2/datasets/GDS5363.csv,965,gender,2,"{'female': 129, 'male': 10}","{'female': 0, 'male': 1}",True
GDS4129,Endoplasmic reticulum stress effect on lymphoblastoid cells of unrelated individuals,Analysis of immortalized B cells from 60 unrelated individuals (grandparents in the HapMap CEPH-Utah pedigrees) treated in vitro with tunicamycin to induce ER stress.  ER stress induces the unfolded protein response (UPR). Results provide insight into molecular mechanisms underlying UPR response.,20398888,GPL570,in situ oligonucleotide,54675,1,120,transformed count,GSE19519,none,data/GEO_v2/datasets/GDS4129.csv,958,agent,2,"{'tunicamycin': 60, 'control': 60}","{'tunicamycin': 0, 'control': 1}",False
GDS4600,Psoriasis vulgaris ACCEPT cohort: paired lesional and non-lesional skin,Analysis of 85 paired lesional and non-lesional samples from moderate-to-severe psoriasis patients at baseline without active psoriasis therapy. Results provide insight into the molecular mechanisms underlying psoriasis.,22763790,GPL570,in situ oligonucleotide,54675,1,170,transformed count,GSE30999,none,data/GEO_v2/datasets/GDS4600.csv,958,disease state,2,"{'non-lesion': 85, 'psoriasis lesion': 85}","{'non-lesion': 0, 'psoriasis lesion': 1}",True
GDS4181,WHO 2008-classified acute myeloid leukemia subgroups (Analysis I): bone marrow mononuclear cells,Analysis of BMMCs from untreated patients diagnosed as AML-MLD-sole (AML with myelodysplasia-related changes solely because of multilineage dysplasia) or AML-NOS (AML-not otherwise specified) according to WHO 2008 guidelines. Results provide insight into the relevance of MLD for AML classification.,20581309,GPL570,in situ oligonucleotide,54675,1,80,transformed count,GSE21261,none,data/GEO_v2/datasets/GDS4181.csv,958,disease state,2,"{'AML-not otherwise specified (AML-NOS)': 56, 'AML-multilineage dysplasia sole (AML-MLD-sole)': 24}","{'AML-not otherwise specified (AML-NOS)': 0, 'AML-multilineage dysplasia sole (AML-MLD-sole)': 1}",False
GDS4336,Pancreatic ductal adenocarcinoma tumor and adjacent non-tumor tissue,Analysis of 45 matching pairs of pancreatic ductal adenocarcinoma (PDAC) tumor and adjacent non-tumor tissue. Results provide insight into tumor markers with prognostic significance and molecular mechanisms underlying PDAC.,"['22363658', '23918603']",GPL6244,in situ oligonucleotide,33297,1,90,transformed count,GSE28735,none,data/GEO_v2/datasets/GDS4336.csv,959,tissue,2,"{'PDAC tumor': 45, 'non-tumor tissue': 45}","{'PDAC tumor': 0, 'non-tumor tissue': 1}",False
GDS4336,Pancreatic ductal adenocarcinoma tumor and adjacent non-tumor tissue,Analysis of 45 matching pairs of pancreatic ductal adenocarcinoma (PDAC) tumor and adjacent non-tumor tissue. Results provide insight into tumor markers with prognostic significance and molecular mechanisms underlying PDAC.,"['22363658', '23918603']",GPL6244,in situ oligonucleotide,33297,1,90,transformed count,GSE28735,none,data/GEO_v2/datasets/GDS4336.csv,959,disease state,3,"{'cancer death: 1': 58, 'cancer death: 0': 26, 'cancer death: na': 6}","{'cancer death: 1': 0, 'cancer death: 0': 1, 'cancer death: na': 1}",False
GDS5277,Rheumatoid arthritis and response to anti-TNF therapy: blood,Analysis of blood from rheumatoid arthritis (RA) patients prior to anti-TNF therapy. Response of patients to anti-TNF therapy assessed after 14 weeks. Results identify a gene expression signature for predicting the response to anti-TNF therapy.,19699293,GPL570,in situ oligonucleotide,54675,1,86,transformed count,GSE15258,none,data/GEO_v2/datasets/GDS5277.csv,958,other,4,"{'moderate responder': 29, 'responder': 24, 'non-responder': 22, 'unknown': 11}","{'moderate responder': 1, 'responder': 0, 'non-responder': 0, 'unknown': 0}",False
GDS5277,Rheumatoid arthritis and response to anti-TNF therapy: blood,Analysis of blood from rheumatoid arthritis (RA) patients prior to anti-TNF therapy. Response of patients to anti-TNF therapy assessed after 14 weeks. Results identify a gene expression signature for predicting the response to anti-TNF therapy.,19699293,GPL570,in situ oligonucleotide,54675,1,86,transformed count,GSE15258,none,data/GEO_v2/datasets/GDS5277.csv,958,other,4,"{'moderate responder': 29, 'responder': 24, 'non-responder': 22, 'unknown': 11}","{'moderate responder': 0, 'responder': 0, 'non-responder': 1, 'unknown': 1}",False
GDS5277,Rheumatoid arthritis and response to anti-TNF therapy: blood,Analysis of blood from rheumatoid arthritis (RA) patients prior to anti-TNF therapy. Response of patients to anti-TNF therapy assessed after 14 weeks. Results identify a gene expression signature for predicting the response to anti-TNF therapy.,19699293,GPL570,in situ oligonucleotide,54675,1,86,transformed count,GSE15258,none,data/GEO_v2/datasets/GDS5277.csv,958,other,4,"{'moderate responder': 29, 'responder': 24, 'non-responder': 22, 'unknown': 11}","{'moderate responder': 0, 'responder': 1, 'non-responder': 0, 'unknown': 0}",False
GDS2771,Large airway epithelial cells from cigarette smokers with suspect lung cancer,"Analysis of large airway epithelial cells from cigarette smokers without cancer, with cancer, and with suspect lung cancer. Results provide insight into the feasibility of using gene expression to detect early stage lung cancer in smokers.","['17334370', '20375364']",GPL96,in situ oligonucleotide,22283,1,192,transformed count,GSE4115,none,data/GEO_v2/datasets/GDS2771.csv,958,disease state,3,"{'cancer': 97, 'no cancer': 90, 'suspect cancer': 5}","{'cancer': 0, 'no cancer': 1, 'suspect cancer': 0}",False
GDS4607,Psoriasis non-lesional skin response to interferon-γ,Analysis of non-lesional (NL) skin of psoriasis patients 24 hrs after a single intradermal injection of interferon-γ (IFN-γ) to the NL skin. Results suggest that IFN-γ may prime an inflammatory environment in the skin that shares many features with psoriasis.,22277938,GPL571,in situ oligonucleotide,22277,1,60,transformed count,GSE32407,none,data/GEO_v2/datasets/GDS4607.csv,958,disease state,2,"{'psoriasis': 30, 'healthy': 30}","{'psoriasis': 0, 'healthy': 1}",True
GDS4607,Psoriasis non-lesional skin response to interferon-γ,Analysis of non-lesional (NL) skin of psoriasis patients 24 hrs after a single intradermal injection of interferon-γ (IFN-γ) to the NL skin. Results suggest that IFN-γ may prime an inflammatory environment in the skin that shares many features with psoriasis.,22277938,GPL571,in situ oligonucleotide,22277,1,60,transformed count,GSE32407,none,data/GEO_v2/datasets/GDS4607.csv,958,protocol,3,"{'baseline': 20, 'interferon-Î³ injection': 20, 'placebo': 20}","{'baseline': 0, 'interferon-Î³ injection': 1, 'placebo': 0}",True
GDS4176,"Chronic lymphocytic leukemia: peripheral blood, bone marrow and lymph node matched samples","Analysis of purified CLL cells from 24 treatment-naive patients. Samples were obtained concurrently from peripheral blood (PB), bone marrow (BM) and/or lymph nodes (LN). Results provide insight into the role of the tissue microenvironment in the pathogenesis of CLL in vivo.",20940416,GPL570,in situ oligonucleotide,54675,1,62,transformed count,GSE21029,none,data/GEO_v2/datasets/GDS4176.csv,958,tissue,3,"{'peripheral blood': 26, 'bone marrow': 19, 'lymph node': 17}","{'peripheral blood': 0, 'bone marrow': 0, 'lymph node': 1}",True
GDS4176,"Chronic lymphocytic leukemia: peripheral blood, bone marrow and lymph node matched samples","Analysis of purified CLL cells from 24 treatment-naive patients. Samples were obtained concurrently from peripheral blood (PB), bone marrow (BM) and/or lymph nodes (LN). Results provide insight into the role of the tissue microenvironment in the pathogenesis of CLL in vivo.",20940416,GPL570,in situ oligonucleotide,54675,1,62,transformed count,GSE21029,none,data/GEO_v2/datasets/GDS4176.csv,958,tissue,3,"{'peripheral blood': 26, 'bone marrow': 19, 'lymph node': 17}","{'peripheral blood': 0, 'bone marrow': 1, 'lymph node': 0}",True
GDS4176,"Chronic lymphocytic leukemia: peripheral blood, bone marrow and lymph node matched samples","Analysis of purified CLL cells from 24 treatment-naive patients. Samples were obtained concurrently from peripheral blood (PB), bone marrow (BM) and/or lymph nodes (LN). Results provide insight into the role of the tissue microenvironment in the pathogenesis of CLL in vivo.",20940416,GPL570,in situ oligonucleotide,54675,1,62,transformed count,GSE21029,none,data/GEO_v2/datasets/GDS4176.csv,958,tissue,3,"{'peripheral blood': 26, 'bone marrow': 19, 'lymph node': 17}","{'peripheral blood': 1, 'bone marrow': 0, 'lymph node': 0}",True
GDS4562,Squamous cell carcinoma of the tongue: tumors and histologically normal surgical margins,"Analysis of oral carcinoma, histologically normal margins, and adjacent normal tissues from patients with squamous cell carcinoma (OSCC) of the tongue (training set). Results provide insight into molecular signature in histologically normal margins that is predictive of oral carcinoma recurrence.",21989116,GPL10526,in situ oligonucleotide,17788,1,96,transformed count,GSE31056,none,data/GEO_v2/datasets/GDS4562.csv,963,specimen,2,"{'margin': 73, 'tumor': 23}","{'margin': 0, 'tumor': 1}",True
GDS4562,Squamous cell carcinoma of the tongue: tumors and histologically normal surgical margins,"Analysis of oral carcinoma, histologically normal margins, and adjacent normal tissues from patients with squamous cell carcinoma (OSCC) of the tongue (training set). Results provide insight into molecular signature in histologically normal margins that is predictive of oral carcinoma recurrence.",21989116,GPL10526,in situ oligonucleotide,17788,1,96,transformed count,GSE31056,none,data/GEO_v2/datasets/GDS4562.csv,963,disease state,2,"{'no recurrence': 58, 'disease recurrence': 38}","{'no recurrence': 0, 'disease recurrence': 1}",True
GDS4103,ICF cohort: Whole-tissue pancreatic ductal adenocarcinoma,"Analysis of pancreatic ductal adenocarcinoma (PDAC) tumors and matching normal pancreatic tissue from ICF pancreatic cancer patients. PDAC is an aggressive, rapidly disseminating, desmoplastic cancer with poor prognosis. Results provide insight into molecular processes involved in PDAC pathology.",19260470,GPL570,in situ oligonucleotide,54675,1,78,transformed count,GSE15471,none,data/GEO_v2/datasets/GDS4103.csv,958,tissue,2,"{'PDAC tumor': 39, 'normal pancreatic': 39}","{'PDAC tumor': 0, 'normal pancreatic': 1}",False
GDS5393,Bipolar disorder and response to lithium: blood,Analysis of peripheral blood from patients with bipolar disorder before and 1 month after lithium treatment. Response of patients to lithium assessed after 6 months. Results identify a gene expression signature for the response to lithium treatment in patients with bipolar disorder.,23670706,GPL10558,oligonucleotide beads,48107,1,120,transformed count,GSE45484,none,data/GEO_v2/datasets/GDS5393.csv,965,agent,2,"{'control': 64, 'lithium': 56}","{'control': 0, 'lithium': 1}",True
GDS5393,Bipolar disorder and response to lithium: blood,Analysis of peripheral blood from patients with bipolar disorder before and 1 month after lithium treatment. Response of patients to lithium assessed after 6 months. Results identify a gene expression signature for the response to lithium treatment in patients with bipolar disorder.,23670706,GPL10558,oligonucleotide beads,48107,1,120,transformed count,GSE45484,none,data/GEO_v2/datasets/GDS5393.csv,965,other,2,"{'non-responder': 94, 'responder': 26}","{'non-responder': 0, 'responder': 1}",True
GDS5393,Bipolar disorder and response to lithium: blood,Analysis of peripheral blood from patients with bipolar disorder before and 1 month after lithium treatment. Response of patients to lithium assessed after 6 months. Results identify a gene expression signature for the response to lithium treatment in patients with bipolar disorder.,23670706,GPL10558,oligonucleotide beads,48107,1,120,transformed count,GSE45484,none,data/GEO_v2/datasets/GDS5393.csv,965,time,2,"{'baseline': 60, '1 month': 60}","{'baseline': 0, '1 month': 1}",True
GDS4198,Australian patient cohort: gastric adenocarcinoma,"Analysis of 70 primary gastric tumors representing 3 subtypes (invasive, metabolic, and proliferative) from the Australian patient cohort (AU-2). Gastric adenocarcinomas show sizable heterogeneity between patients. Results provide insight into molecular characterization of gastric cancer subtypes.","['22735568', '25053715', '23684942']",GPL570,in situ oligonucleotide,54675,1,70,transformed count,GSE35809,none,data/GEO_v2/datasets/GDS4198.csv,958,disease state,3,"{'gastric cancer subtype: proliferative': 29, 'gastric cancer subtype: invasive': 26, 'gastric cancer subtype: metabolic': 15}","{'gastric cancer subtype: proliferative': 0, 'gastric cancer subtype: invasive': 0, 'gastric cancer subtype: metabolic': 1}",False
GDS4198,Australian patient cohort: gastric adenocarcinoma,"Analysis of 70 primary gastric tumors representing 3 subtypes (invasive, metabolic, and proliferative) from the Australian patient cohort (AU-2). Gastric adenocarcinomas show sizable heterogeneity between patients. Results provide insight into molecular characterization of gastric cancer subtypes.","['22735568', '25053715', '23684942']",GPL570,in situ oligonucleotide,54675,1,70,transformed count,GSE35809,none,data/GEO_v2/datasets/GDS4198.csv,958,disease state,3,"{'gastric cancer subtype: proliferative': 29, 'gastric cancer subtype: invasive': 26, 'gastric cancer subtype: metabolic': 15}","{'gastric cancer subtype: proliferative': 0, 'gastric cancer subtype: invasive': 1, 'gastric cancer subtype: metabolic': 0}",False
GDS4198,Australian patient cohort: gastric adenocarcinoma,"Analysis of 70 primary gastric tumors representing 3 subtypes (invasive, metabolic, and proliferative) from the Australian patient cohort (AU-2). Gastric adenocarcinomas show sizable heterogeneity between patients. Results provide insight into molecular characterization of gastric cancer subtypes.","['22735568', '25053715', '23684942']",GPL570,in situ oligonucleotide,54675,1,70,transformed count,GSE35809,none,data/GEO_v2/datasets/GDS4198.csv,958,disease state,3,"{'gastric cancer subtype: proliferative': 29, 'gastric cancer subtype: invasive': 26, 'gastric cancer subtype: metabolic': 15}","{'gastric cancer subtype: proliferative': 1, 'gastric cancer subtype: invasive': 0, 'gastric cancer subtype: metabolic': 0}",False
GDS4379,Colorectal cancer tumors,Analysis of primary colorectal cancer (CRC) tumors. CRC is a heterogeneous disease. Results provide insight into stratifying CRC tumor samples into subtypes and tailoring treatments for the CRC subtypes.,23272949,GPL570,in situ oligonucleotide,54675,1,62,transformed count,GSE35896,none,data/GEO_v2/datasets/GDS4379.csv,958,disease state,6,"{'Large Intestine, Adenocarcinoma': 55, 'Adenocarcinoma': 2, 'Large Intestine, Mucinous Adenocarcinoma': 2, 'Large Intestine, Adenocarcinoma in Villous Adenoma': 1, 'Large Intestine, Villous Adenoma': 1, 'Mucinous Adenocarcinoma': 1}","{'Large Intestine, Adenocarcinoma': 0, 'Adenocarcinoma': 0, 'Large Intestine, Mucinous Adenocarcinoma': 1, 'Large Intestine, Adenocarcinoma in Villous Adenoma': 0, 'Large Intestine, Villous Adenoma': 1, 'Mucinous Adenocarcinoma': 1}",False
GDS4379,Colorectal cancer tumors,Analysis of primary colorectal cancer (CRC) tumors. CRC is a heterogeneous disease. Results provide insight into stratifying CRC tumor samples into subtypes and tailoring treatments for the CRC subtypes.,23272949,GPL570,in situ oligonucleotide,54675,1,62,transformed count,GSE35896,none,data/GEO_v2/datasets/GDS4379.csv,958,disease state,6,"{'Large Intestine, Adenocarcinoma': 55, 'Adenocarcinoma': 2, 'Large Intestine, Mucinous Adenocarcinoma': 2, 'Large Intestine, Adenocarcinoma in Villous Adenoma': 1, 'Large Intestine, Villous Adenoma': 1, 'Mucinous Adenocarcinoma': 1}","{'Large Intestine, Adenocarcinoma': 0, 'Adenocarcinoma': 0, 'Large Intestine, Mucinous Adenocarcinoma': 1, 'Large Intestine, Adenocarcinoma in Villous Adenoma': 0, 'Large Intestine, Villous Adenoma': 0, 'Mucinous Adenocarcinoma': 1}",False
GDS4379,Colorectal cancer tumors,Analysis of primary colorectal cancer (CRC) tumors. CRC is a heterogeneous disease. Results provide insight into stratifying CRC tumor samples into subtypes and tailoring treatments for the CRC subtypes.,23272949,GPL570,in situ oligonucleotide,54675,1,62,transformed count,GSE35896,none,data/GEO_v2/datasets/GDS4379.csv,958,disease state,6,"{'Large Intestine, Adenocarcinoma': 55, 'Adenocarcinoma': 2, 'Large Intestine, Mucinous Adenocarcinoma': 2, 'Large Intestine, Adenocarcinoma in Villous Adenoma': 1, 'Large Intestine, Villous Adenoma': 1, 'Mucinous Adenocarcinoma': 1}","{'Large Intestine, Adenocarcinoma': 0, 'Adenocarcinoma': 0, 'Large Intestine, Mucinous Adenocarcinoma': 0, 'Large Intestine, Adenocarcinoma in Villous Adenoma': 1, 'Large Intestine, Villous Adenoma': 1, 'Mucinous Adenocarcinoma': 0}",False
GDS4379,Colorectal cancer tumors,Analysis of primary colorectal cancer (CRC) tumors. CRC is a heterogeneous disease. Results provide insight into stratifying CRC tumor samples into subtypes and tailoring treatments for the CRC subtypes.,23272949,GPL570,in situ oligonucleotide,54675,1,62,transformed count,GSE35896,none,data/GEO_v2/datasets/GDS4379.csv,958,disease state,6,"{'Large Intestine, Adenocarcinoma': 55, 'Adenocarcinoma': 2, 'Large Intestine, Mucinous Adenocarcinoma': 2, 'Large Intestine, Adenocarcinoma in Villous Adenoma': 1, 'Large Intestine, Villous Adenoma': 1, 'Mucinous Adenocarcinoma': 1}","{'Large Intestine, Adenocarcinoma': 0, 'Adenocarcinoma': 1, 'Large Intestine, Mucinous Adenocarcinoma': 0, 'Large Intestine, Adenocarcinoma in Villous Adenoma': 0, 'Large Intestine, Villous Adenoma': 0, 'Mucinous Adenocarcinoma': 1}",False
GDS4379,Colorectal cancer tumors,Analysis of primary colorectal cancer (CRC) tumors. CRC is a heterogeneous disease. Results provide insight into stratifying CRC tumor samples into subtypes and tailoring treatments for the CRC subtypes.,23272949,GPL570,in situ oligonucleotide,54675,1,62,transformed count,GSE35896,none,data/GEO_v2/datasets/GDS4379.csv,958,genotype/variation,3,"{'microsatellite.status: MSS': 56, 'microsatellite.status: MSI': 5, 'microsatellite.status: ---': 1}","{'microsatellite.status: MSS': 0, 'microsatellite.status: MSI': 1, 'microsatellite.status: ---': 1}",False
GDS4968,Monoclonal gammopathies: bone marrow plasma cells,"Analysis of plasma cells from patients with monoclonal gammopathy of undetermined significance (MGUS), smoldering multiple myeloma (MM), or MM. MM is consistently preceded by MGUS/SMM. Results provide insight into molecular mechanisms underlying the transformation from precursor disease to MM.",24816239,GPL6244,in situ oligonucleotide,33297,1,99,transformed count,GSE47552,none,data/GEO_v2/datasets/GDS4968.csv,959,disease state,4,"{'multiple myeloma': 41, 'smoldering multiple myeloma': 33, 'monoclonal gammopathy of undetermined significance': 20, 'normal': 5}","{'multiple myeloma': 0, 'smoldering multiple myeloma': 0, 'monoclonal gammopathy of undetermined significance': 1, 'normal': 1}",True
