name,title,description,pubmed_id,platform,platform_technology_type,feature_count,channel_count,sample_count,value_type,reference_series,order,file_location,num_L1000_genes,target_column,num_classes,class_distribution,true_class_distribution
GDS1063,Primary effusion lymphomas and associated viral infections,"Analysis of Kaposi's sarcoma-associated herpesvirus (KSHV) positive mononuclear cells from 3 patients with primary effusion lymphoma (PEL), 9 KSHV positive PEL cell lines, and 3 KSHV negative cell lines from lymphomatous effusions.  Effect of concomittant Epstein-Barr virus infection also examined.",,GPL96,in situ oligonucleotide,22283,1,21,count,GSE2149,none,data/GEO_v2/datasets/GDS1063.csv,958,cell type,2,"{'mononuclear cell': 3, 'cell line': 18}","{'cell line': 18, 'mononuclear cell': 3}"
GDS1063,Primary effusion lymphomas and associated viral infections,"Analysis of Kaposi's sarcoma-associated herpesvirus (KSHV) positive mononuclear cells from 3 patients with primary effusion lymphoma (PEL), 9 KSHV positive PEL cell lines, and 3 KSHV negative cell lines from lymphomatous effusions.  Effect of concomittant Epstein-Barr virus infection also examined.",,GPL96,in situ oligonucleotide,22283,1,21,count,GSE2149,none,data/GEO_v2/datasets/GDS1063.csv,958,infection,3,"{'KSHV-negative EBV-positive': 6, 'KSHV-positive EBV-negative': 7, 'KSHV-positive EBV-positive': 8}","{'KSHV-positive EBV-positive': 8, 'KSHV-positive EBV-negative': 7, 'KSHV-negative EBV-positive': 6}"
GDS1064,Acute myeloid leukemia subclasses,"Expression profiling of bone marrow from 43 patients with various forms of acute myeloid leukemia (AML): 10 promyelocytic leukemias with t(15;17), 4 AMLs with inv(16), 7 monocytic leukemias, and 22 nonmonocytic leukemias.  Results identify expression signatures unique to each AML subclass.",15674361,GPL96,in situ oligonucleotide,22283,1,43,count,GSE1729,none,data/GEO_v2/datasets/GDS1064.csv,958,disease state,8,"{'APL with translocation': 10, 'AML with inversion': 4, 'acute monoblastic/moncytic leukemia': 7, 'AML, minimally differentiated': 2, 'AML without maturation': 7, 'AML with maturation': 7, 'acute myelomonocytic leukemia': 5, 'acute erythroid leukemia': 1}","{'APL with translocation': 10, 'acute monoblastic/moncytic leukemia': 7, 'AML without maturation': 7, 'AML with maturation': 7, 'acute myelomonocytic leukemia': 5, 'AML with inversion': 4, 'AML, minimally differentiated': 2, 'acute erythroid leukemia': 1}"
GDS1065,Mitochondrial encephalomyopathies associated with mitochondrial DNA mutations,"Analysis of muscle from 12 patients with various forms of mitochondrial encephalomyopathies associated with mitochondrial DNA mutations: 8 patients with a A3243G mutation, and 4 patients with a 4977 base pair deletion. Results identify possible expression signature for mitochondrial disorders.",15728662,GPL96,in situ oligonucleotide,22283,1,15,count,GSE1462,none,data/GEO_v2/datasets/GDS1065.csv,958,genotype/variation,3,"{'wild type': 3, 'A3243G': 8, 'large deletion': 4}","{'A3243G': 8, 'large deletion': 4, 'wild type': 3}"
GDS1065,Mitochondrial encephalomyopathies associated with mitochondrial DNA mutations,"Analysis of muscle from 12 patients with various forms of mitochondrial encephalomyopathies associated with mitochondrial DNA mutations: 8 patients with a A3243G mutation, and 4 patients with a 4977 base pair deletion. Results identify possible expression signature for mitochondrial disorders.",15728662,GPL96,in situ oligonucleotide,22283,1,15,count,GSE1462,none,data/GEO_v2/datasets/GDS1065.csv,958,disease state,3,"{'normal': 3, 'MELAS': 4, 'PEO': 8}","{'PEO': 8, 'MELAS': 4, 'normal': 3}"
GDS1067,Plasma cell dyscrasias,"Expression profiling of plasma cells from patients with plasma cell dyscrasias: 7 with monoclonal gammopathy of undetermined significance, 39 with multiple myeloma (MM), and 6 with plasma cell leukemia.  Results provide insight into the neoplastic transformation of plasma cells in MM.",15735737,GPL96,in situ oligonucleotide,22283,1,52,count,GSE2113,none,data/GEO_v2/datasets/GDS1067.csv,958,disease state,3,"{'monoclonal gammopathy of undetermined significance': 7, 'multiple myeloma': 39, 'plasma cell leukemia': 6}","{'multiple myeloma': 39, 'monoclonal gammopathy of undetermined significance': 7, 'plasma cell leukemia': 6}"
GDS1074,AML1-ETO fusion protein effect on CD34+ hematopoietic cells,Analysis of CD34+ hematopoietic cells expressing the AML1-ETO fusion protein which is formed in acute myeloid leukemia (AML) from translocation t(8;21). CD34+ cells isolated from peripheral blood progenitor and cord blood cells. Results provide insight into the role of AML1-ETO in leukemogenesis.,15731354,GPL8300,in situ oligonucleotide,12625,1,4,count,GSE2049,none,data/GEO_v2/datasets/GDS1074.csv,827,cell type,2,"{'cord blood': 2, 'peripheral blood progenitor': 2}","{'cord blood': 2, 'peripheral blood progenitor': 2}"
GDS1074,AML1-ETO fusion protein effect on CD34+ hematopoietic cells,Analysis of CD34+ hematopoietic cells expressing the AML1-ETO fusion protein which is formed in acute myeloid leukemia (AML) from translocation t(8;21). CD34+ cells isolated from peripheral blood progenitor and cord blood cells. Results provide insight into the role of AML1-ETO in leukemogenesis.,15731354,GPL8300,in situ oligonucleotide,12625,1,4,count,GSE2049,none,data/GEO_v2/datasets/GDS1074.csv,827,agent,2,"{'AML1-ETO': 2, 'empty vector': 2}","{'AML1-ETO': 2, 'empty vector': 2}"
GDS1078,E2F-1 overexpression effect on melanoma cells,Expression profiling of SKMEL-2 melanoma cells overexpressing the transcription factor E2F-1. E2F-1 overexpression induces apoptosis in many tumor cells. Results provide insight into the mechanisms underlying E2F-1 induced apoptosis in melanoma cells.,15656974,GPL8300,in situ oligonucleotide,12625,1,4,count,GSE1562,none,data/GEO_v2/datasets/GDS1078.csv,827,agent,2,"{'control': 2, 'exogenous E2F-1': 2}","{'control': 2, 'exogenous E2F-1': 2}"
GDS1085,Normal tissues of diverse types (SHBW),"Expression profiling of 115 samples from 35 different types of normal tissues. Samples obtained by surgery or autopsy, and evaluated by pathologists. Results provide insight into the molecular organization of diverse cell types, and provide a baseline for comparison to diseased tissues.",15774023,GPL1823,spotted DNA/cDNA,43008,2,35,log ratio,GSE2193,none,data/GEO_v2/datasets/GDS1085.csv,209,tissue,20,"{'adrenal': 2, 'bladder': 2, 'brain, frontal cortex': 2, 'brain, occipital cortex': 2, 'brain, temporal cortex': 1, 'cervix, endocervical cana': 1, 'colon, ascending': 1, 'diaphragm': 1, 'kidney': 1, 'lung': 3, 'ovary': 3, 'prostate': 4, 'salivary gland, parotid': 4, 'small bowel, duodenum': 1, 'stomach, fundus': 1, 'testes': 1, 'thymus': 1, 'uterine corpus, myometriun': 1, 'uterus, endomyometrium': 2, 'vagina': 1}","{'salivary gland, parotid': 4, 'prostate': 4, 'ovary': 3, 'lung': 3, 'uterus, endomyometrium': 2, 'bladder': 2, 'adrenal': 2, 'brain, occipital cortex': 2, 'brain, frontal cortex': 2, 'diaphragm': 1, 'kidney': 1, 'colon, ascending': 1, 'cervix, endocervical cana': 1, 'brain, temporal cortex': 1, 'small bowel, duodenum': 1, 'stomach, fundus': 1, 'testes': 1, 'thymus': 1, 'uterine corpus, myometriun': 1, 'vagina': 1}"
GDS1088,Normal tissues of diverse types (SHDP),"Expression profiling of 115 samples from 35 different types of normal tissues. Samples obtained by surgery or autopsy, and evaluated by pathologists. Results provide insight into the molecular organization of diverse cell types, and provide a baseline for comparison to diseased tissues.",15774023,GPL1826,spotted DNA/cDNA,43104,2,11,log ratio,GSE2193,none,data/GEO_v2/datasets/GDS1088.csv,357,tissue,4,"{'Fallopian tube': 2, 'Gallbladder': 1, 'Heart': 4, 'Thyroid': 4}","{'Heart': 4, 'Thyroid': 4, 'Fallopian tube': 2, 'Gallbladder': 1}"
GDS1094,Estrogen receptor alpha/beta heterodimer action in response to estrogen and tamoxifen,Expression profiling of U2OS osteosarcoma cell line expressing estrogen receptor/alpha heterodimer after treatment with 10 nM 17beta-estradiol (E2) or 10 nM 4-OH tamoxifen (4HT) for 24 hours. Results provide insight into the role of estrogen receptor/alpha heterodimer in gene regulation.,15802376,GPL201,in situ oligonucleotide,8793,1,45,count,GSE2292,none,data/GEO_v2/datasets/GDS1094.csv,728,agent,3,"{'control': 20, '4OH-tamoxifen': 12, '17beta-estradiol': 13}","{'control': 20, '17beta-estradiol': 13, '4OH-tamoxifen': 12}"
GDS1094,Estrogen receptor alpha/beta heterodimer action in response to estrogen and tamoxifen,Expression profiling of U2OS osteosarcoma cell line expressing estrogen receptor/alpha heterodimer after treatment with 10 nM 17beta-estradiol (E2) or 10 nM 4-OH tamoxifen (4HT) for 24 hours. Results provide insight into the role of estrogen receptor/alpha heterodimer in gene regulation.,15802376,GPL201,in situ oligonucleotide,8793,1,45,count,GSE2292,none,data/GEO_v2/datasets/GDS1094.csv,728,genotype/variation,3,"{'estrogen receptor alpha': 14, 'estrogen receptor beta': 16, 'estrogen receptor alpha/beta': 15}","{'estrogen receptor beta': 16, 'estrogen receptor alpha/beta': 15, 'estrogen receptor alpha': 14}"
GDS1095,Hematopoeitic stem cells of various types,"Expression profiling of Lin-CD34-, Lin-CD34+, and Lin+CD34+ peripheral blood hematopoeitic stem cells (HSCs). Results provide insight into the molecular basis of the association of CD34 expression with self-renewal and lineage commitment in HSCs.",15790771,GPL8300,in situ oligonucleotide,12625,1,6,count,GSE1493,none,data/GEO_v2/datasets/GDS1095.csv,827,cell type,3,"{'Lin negative, CD34 negative': 2, 'Lin negative, CD34 positive': 2, 'Lin positive, CD34 positive': 2}","{'Lin negative, CD34 negative': 2, 'Lin negative, CD34 positive': 2, 'Lin positive, CD34 positive': 2}"
GDS1096,Normal tissues of various types,Expression profiling of 36 types of normal tissue. Each RNA tissue sample pooled from several donors.  Results identify tissue specific genes and provide baselines for interpreting gene expression in cancer.,15950434,GPL96,in situ oligonucleotide,22283,1,36,count,GSE2361,none,data/GEO_v2/datasets/GDS1096.csv,958,tissue,36,"{'adrenal gland': 1, 'amygdala': 1, 'bladder': 1, 'bone marrow': 1, 'brain': 1, 'breast': 1, 'caudate nucleus': 1, 'cerebellum': 1, 'colon': 1, 'corpus': 1, 'fetal brain': 1, 'fetal liver': 1, 'fetal lung': 1, 'heart': 1, 'hippocampus': 1, 'kidney': 1, 'liver': 1, 'lung': 1, 'ovary': 1, 'pancreas': 1, 'pituitary gland': 1, 'placenta': 1, 'prostate': 1, 'smooth muscle': 1, 'salivary gland': 1, 'skin': 1, 'small intestine': 1, 'spinal cord': 1, 'spleen': 1, 'stomach': 1, 'testis': 1, 'thalamus': 1, 'thymus': 1, 'thyroid': 1, 'trachea': 1, 'uterus': 1}","{'adrenal gland': 1, 'amygdala': 1, 'pituitary gland': 1, 'placenta': 1, 'prostate': 1, 'smooth muscle': 1, 'salivary gland': 1, 'skin': 1, 'small intestine': 1, 'spinal cord': 1, 'spleen': 1, 'stomach': 1, 'testis': 1, 'thalamus': 1, 'thymus': 1, 'thyroid': 1, 'trachea': 1, 'pancreas': 1, 'ovary': 1, 'lung': 1, 'colon': 1, 'bladder': 1, 'bone marrow': 1, 'brain': 1, 'breast': 1, 'caudate nucleus': 1, 'cerebellum': 1, 'corpus': 1, 'liver': 1, 'fetal brain': 1, 'fetal liver': 1, 'fetal lung': 1, 'heart': 1, 'hippocampus': 1, 'kidney': 1, 'uterus': 1}"
GDS1112,Glaucomatous astrocytes from the optic nerve head,Expression profiling of astrocytes taken from the optic nerve head (ONH) of patients with glaucoma. The ONH is the site of damage in glaucomatous optic neuropathy. Studies suggest that damage in glaucoma is mediated by reactive astrocytes.,"['11921203', '18822132']",GPL8300,in situ oligonucleotide,12625,1,13,count,GSE2378,none,data/GEO_v2/datasets/GDS1112.csv,827,disease state,2,"{'glaucoma': 7, 'normal': 6}","{'glaucoma': 7, 'normal': 6}"
GDS12,Bone marrow stromal cell lines,"Examination of two functionally distinct human bone marrow stromal cell lines, HS-27a and HS-5. Four independent RNA samples from each cell line analyzed.",12184274,GPL44,spotted DNA/cDNA,17588,2,8,log ratio,GSE463,none,data/GEO_v2/datasets/GDS12.csv,386,cell line,2,"{'HS-5': 4, 'HS-27a': 4}","{'HS-5': 4, 'HS-27a': 4}"
GDS1204,Lung cancer cell line response to motexafin gadolinium: time course,"Expression profiling of lung cancer cell line A549 following treatment with 50 uM of the metal cation-containing chemotherapeutic drug motexafin gadolinium (MGd). Cells examined at 4, 12, and 24 hours following treatment. Results provide insight into the mechanism of action of MGd.",15867382,GPL96,in situ oligonucleotide,22283,1,18,count,GSE2189,none,data/GEO_v2/datasets/GDS1204.csv,958,agent,2,"{'control': 9, 'motexafin gadolinium': 9}","{'control': 9, 'motexafin gadolinium': 9}"
GDS1204,Lung cancer cell line response to motexafin gadolinium: time course,"Expression profiling of lung cancer cell line A549 following treatment with 50 uM of the metal cation-containing chemotherapeutic drug motexafin gadolinium (MGd). Cells examined at 4, 12, and 24 hours following treatment. Results provide insight into the mechanism of action of MGd.",15867382,GPL96,in situ oligonucleotide,22283,1,18,count,GSE2189,none,data/GEO_v2/datasets/GDS1204.csv,958,time,3,"{'4 h': 6, '12 h': 6, '24 h': 6}","{'4 h': 6, '12 h': 6, '24 h': 6}"
GDS1209,Sarcoma and hypoxia,Expression profiling of soft tissue sarcoma samples. Hypoxic regions often develop in tumors as they increase in size. Results provide insight into the expression of hypoxia-related genes in sarcomas.,"['15994966', '16603191']",GPL96,in situ oligonucleotide,22283,1,54,count,GSE2719,none,data/GEO_v2/datasets/GDS1209.csv,958,disease state,2,"{'normal': 15, 'sarcoma': 39}","{'sarcoma': 39, 'normal': 15}"
GDS1209,Sarcoma and hypoxia,Expression profiling of soft tissue sarcoma samples. Hypoxic regions often develop in tumors as they increase in size. Results provide insight into the expression of hypoxia-related genes in sarcomas.,"['15994966', '16603191']",GPL96,in situ oligonucleotide,22283,1,54,count,GSE2719,none,data/GEO_v2/datasets/GDS1209.csv,958,tissue,23,"{'brain': 1, 'stomach': 1, 'colon': 1, 'pancreas': 1, 'prostate': 1, 'skin': 1, 'small intestine': 1, 'adrenal gland': 1, 'connective': 1, 'heart': 1, 'kidney': 1, 'liver': 1, 'lung': 1, 'skeletal muscle': 1, 'spleen': 1, 'fibrosarcoma': 7, 'gastrointestinal stromal': 2, 'leiomyosarcoma': 6, 'dedifferentiated liposarcoma': 4, 'pleomorphic liposarcoma': 3, 'malignant fibrous histiocytoma': 9, 'round cell': 4, 'synovial': 4}","{'malignant fibrous histiocytoma': 9, 'fibrosarcoma': 7, 'leiomyosarcoma': 6, 'synovial': 4, 'round cell': 4, 'dedifferentiated liposarcoma': 4, 'pleomorphic liposarcoma': 3, 'gastrointestinal stromal': 2, 'lung': 1, 'spleen': 1, 'skeletal muscle': 1, 'brain': 1, 'stomach': 1, 'kidney': 1, 'heart': 1, 'connective': 1, 'adrenal gland': 1, 'small intestine': 1, 'skin': 1, 'prostate': 1, 'pancreas': 1, 'colon': 1, 'liver': 1}"
GDS1210,Gastric cancer,Expression profiling of 22 primary advanced gastric cancer tissues. Whole gastric cancer tissues examined in the presence of metastasis and according to histological type. Results provide insight into the progression and diversity of gastric cancer.,11782383,GPL80,in situ oligonucleotide,7129,1,30,count,GSE2685,none,data/GEO_v2/datasets/GDS1210.csv,557,disease state,2,"{'normal': 8, 'cancer': 22}","{'cancer': 22, 'normal': 8}"
GDS1212,Tumor necrosis factor effect in the absence of NF-kappaB activity: time course,Temporal analysis of the effect of tumor necrosis factor (TNF)  on gene expression in HeLa cells with NF-kappaB inactivated. NF-kappaB inactivated with 2 ug/ml doxycycline. Cells examined at various time points following stimulation with 25 ng/ml TNF. Results identify potential targets of NF-kappaB.,15722553,GPL8300,in situ oligonucleotide,12625,1,32,count,GSE2624,none,data/GEO_v2/datasets/GDS1212.csv,827,agent,2,"{'control': 16, 'doxycycline': 16}","{'control': 16, 'doxycycline': 16}"
GDS1212,Tumor necrosis factor effect in the absence of NF-kappaB activity: time course,Temporal analysis of the effect of tumor necrosis factor (TNF)  on gene expression in HeLa cells with NF-kappaB inactivated. NF-kappaB inactivated with 2 ug/ml doxycycline. Cells examined at various time points following stimulation with 25 ng/ml TNF. Results identify potential targets of NF-kappaB.,15722553,GPL8300,in situ oligonucleotide,12625,1,32,count,GSE2624,none,data/GEO_v2/datasets/GDS1212.csv,827,time,4,"{'0 h TNF': 9, '1 h TNF': 8, '3 h TNF': 8, '6 h TNF': 7}","{'0 h TNF': 9, '1 h TNF': 8, '3 h TNF': 8, '6 h TNF': 7}"
GDS1215,Acute myeloblastic leukemia cells response to all trans retinoic acid and valproic acid,"Analysis of acute myeloblastic leukemia (AML) cell line, OCI/AML-2, following treatment with valproic acid (VPA) and all trans retinoic acid (ATRA). VPA inhibits histone deacetylase. Results provide insight into the responsiveness of AML cells to ATRA when VPA is present.",15902297,GPL96,in situ oligonucleotide,22283,1,4,count,GSE2668,none,data/GEO_v2/datasets/GDS1215.csv,958,agent,4,"{'control': 1, 'ATRA': 1, 'VPA': 1, 'ATRA and VPA': 1}","{'control': 1, 'ATRA': 1, 'VPA': 1, 'ATRA and VPA': 1}"
